Tournament Name,day1,day2,day3,day4,Yardage,Par,Rating
THE CJ CUP in South Carolina,69,62,70,69,7655,71,79.0
Hero World Challenge,73,71,68,71,7449,72,70.0
Sentry Tournament of Champions,64,71,67,63,7596,73,77.0
The American Express,64,64,65,68,7131,72,75.0
Farmers Insurance Open,73,67,66,74,7500,72,76.4
WM Phoenix Open,68,66,68,68,7261,71,74.7
The Genesis Invitational,65,68,65,69,7322,71,75.6
Arnold Palmer Invitational presented by Mastercard,65,76,76,72,7466,72,76.4
Masters Tournament,65,69,73,69,7545,72,76.2
RBC Heritage,72,64,69,68,7213,71,75.6
the Memorial Tournament presented by Workday,70,70,74,74,7571,72,77.3
