Tournament Name,day1,day2,day3,day4,Yardage,Par,Rating
THE CJ CUP in South Carolina,75,69,72,69,7655,71,79.0
Hero World Challenge,76,72,72,69,7449,72,70.0
Sentry Tournament of Champions,67,66,71,69,7596,73,77.0
AT&T Pebble Beach Pro-Am,71,68,75,73,6982,72,74.9
WM Phoenix Open,71,63,69,70,7261,71,74.7
Arnold Palmer Invitational presented by Mastercard,68,69,74,70,7466,72,76.4
THE PLAYERS Championship,69,75,66,72,7275,72,76.8
Valspar Championship,67,70,69,70,7340,71,75.9
Masters Tournament,69,70,76,66,7545,72,76.2
RBC Heritage,68,67,66,66,7213,71,75.6
the Memorial Tournament presented by Workday,69,72,72,71,7571,72,77.3
