Tournament Name,day1,day2,day3,day4,Yardage,Par,Rating
THE CJ CUP in South Carolina,68,73,72,69,7655,71,79.0
Hero World Challenge,72,70,66,70,7449,72,70.0
Sentry Tournament of Champions,70,70,67,70,7596,73,77.0
Farmers Insurance Open,68,74,73,72,7500,72,76.4
WM Phoenix Open,71,68,67,65,7261,71,74.7
The Genesis Invitational,68,73,69,69,7322,71,75.6
Arnold Palmer Invitational presented by Mastercard,72,67,72,74,7466,72,76.4
THE PLAYERS Championship,73,73,71,71,7275,72,76.8
Valspar Championship,69,70,72,70,7340,71,75.9
RBC Heritage,69,68,72,66,7213,71,75.6
Wells Fargo Championship,68,67,70,71,7538,71,77.2
