Tournament Name,day1,day2,day3,day4,Yardage,Par,Rating
THE CJ CUP in South Carolina,70,69,68,68,7655,71,79.0
Hero World Challenge,74,70,76,67,7449,72,70.0
Sentry Tournament of Champions,66,69,66,70,7596,73,77.0
WM Phoenix Open,70,71,73,65,7261,71,74.7
Arnold Palmer Invitational presented by Mastercard,70,69,76,69,7466,72,76.4
Masters Tournament,70,72,72,70,7545,72,76.2
RBC Heritage,66,70,63,68,7213,71,75.6
Wells Fargo Championship,69,70,72,70,7538,71,77.2
the Memorial Tournament presented by Workday,76,68,70,72,7571,72,77.3
RBC Canadian Open,68,73,69,70,7264,72,73.0
