Tournament Name,day1,day2,day3,day4,Yardage,Par,Rating
Shriners Children's Open,67,67,60,69,7255,71,74.7
Sentry Tournament of Champions,70,70,66,68,7596,73,77.0
The American Express,68,66,71,65,7131,72,75.0
The Genesis Invitational,68,67,68,67,7322,71,75.6
Arnold Palmer Invitational presented by Mastercard,68,71,74,68,7466,72,76.4
THE PLAYERS Championship,72,70,68,72,7275,72,76.8
Masters Tournament,71,71,68,75,7545,72,76.2
RBC Heritage,69,65,66,68,7213,71,75.6
Wells Fargo Championship,67,71,71,69,7538,71,77.2
the Memorial Tournament presented by Workday,71,67,74,78,7571,72,77.3
