Tournament Name,day1,day2,day3,day4,Yardage,Par,Rating
THE CJ CUP in South Carolina,68,67,71,72,7655,71,79.0
Hero World Challenge,74,77,71,71,7449,72,70.0
The Genesis Invitational,69,69,71,68,7322,71,75.6
The Honda Classic,68,68,65,70,7140,70,75.4
Arnold Palmer Invitational presented by Mastercard,72,70,80,71,7466,72,76.4
THE PLAYERS Championship,77,69,68,70,7275,72,76.8
Masters Tournament,68,72,73,73,7545,72,76.2
RBC Heritage,70,69,74,72,7213,71,75.6
the Memorial Tournament presented by Workday,69,76,70,73,7571,72,77.3
RBC Canadian Open,72,69,70,73,7264,72,73.0
