Tournament Name,day1,day2,day3,day4,Yardage,Par,Rating
ZOZO CHAMPIONSHIP,70,71,69,69,7079,70,70.0
THE CJ CUP in South Carolina,73,66,66,65,7655,71,79.0
Hero World Challenge,71,76,72,76,7449,72,70.0
The Genesis Invitational,68,70,71,70,7322,71,75.6
Arnold Palmer Invitational presented by Mastercard,73,71,74,73,7466,72,76.4
THE PLAYERS Championship,72,70,65,76,7275,72,76.8
Valspar Championship,68,69,69,70,7340,71,75.9
Masters Tournament,72,71,74,74,7545,72,76.2
RBC Heritage,69,65,68,71,7213,71,75.6
Wells Fargo Championship,65,71,67,70,7538,71,77.2
RBC Canadian Open,70,70,64,67,7264,72,73.0
