Tournament Name,day1,day2,day3,day4,Yardage,Par,Rating
ZOZO CHAMPIONSHIP,70,70,70,68,7079,70,70.0
THE CJ CUP in South Carolina,67,68,71,69,7655,71,79.0
WM Phoenix Open,70,67,67,69,7261,71,74.7
The Genesis Invitational,70,71,70,71,7322,71,75.6
Arnold Palmer Invitational presented by Mastercard,71,72,66,72,7466,72,76.4
THE PLAYERS Championship,72,71,68,65,7275,72,76.8
Masters Tournament,71,73,72,76,7545,72,76.2
RBC Heritage,68,70,70,66,7213,71,75.6
Wells Fargo Championship,69,65,68,70,7538,71,77.2
AT&T Byron Nelson,68,67,65,64,7414,71,76.5
the Memorial Tournament presented by Workday,71,71,73,72,7571,72,77.3
RBC Canadian Open,72,64,72,64,7264,72,73.0
