Tournament Name,day1,day2,day3,day4,Yardage,Par,Rating
ZOZO CHAMPIONSHIP,67,69,69,65,7079,70,70.0
Hero World Challenge,72,68,69,68,7449,72,70.0
The American Express,65,68,68,62,7131,72,75.0
Farmers Insurance Open,72,71,69,72,7500,72,76.4
WM Phoenix Open,67,67,70,70,7261,71,74.7
The Genesis Invitational,69,74,70,68,7322,71,75.6
Arnold Palmer Invitational presented by Mastercard,68,70,75,76,7466,72,76.4
THE PLAYERS Championship,72,73,69,68,7275,72,76.8
Masters Tournament,68,74,71,71,7545,72,76.2
RBC Heritage,67,66,70,66,7213,71,75.6
Wells Fargo Championship,66,69,64,70,7538,71,77.2
the Memorial Tournament presented by Workday,77,66,72,74,7571,72,77.3
